Provider,inp_claims,inp_total_reimbursed,inp_mean_reimbursed,inp_max_reimbursed,inp_mean_deductible,inp_mean_los,inp_unique_bene,outp_claims,outp_total_reimbursed,outp_mean_reimbursed,outp_mean_deductible,outp_unique_bene,avg_age,pct_male,pct_female,pct_renal,mean_ChronicCond_Alzheimer,mean_ChronicCond_Heartfailure,mean_ChronicCond_KidneyDisease,mean_ChronicCond_Cancer,mean_ChronicCond_ObstrPulmonary,mean_ChronicCond_Depression,mean_ChronicCond_Diabetes,mean_ChronicCond_IschemicHeart,mean_ChronicCond_Osteoporasis,mean_ChronicCond_rheumatoidarthritis,mean_ChronicCond_stroke,PotentialFraud,FraudLabel
PRV51016,,,,,,,,6.0,170.0,28.333333333333332,0.0,6.0,,,,,,,,,,,,,,,,No,0
PRV51017,,,,,,,,515.0,142720.0,277.126213592233,2.0388349514563107,420.0,,,,,,,,,,,,,,,,No,0
PRV51021,29.0,269000.0,9275.862068965518,57000.0,1068.0,4.793103448275862,23.0,228.0,79830.0,350.13157894736844,2.280701754385965,187.0,70.99917392433146,0.3103448275862069,0.6896551724137931,0.3103448275862069,1.4827586206896552,1.4137931034482758,1.3103448275862069,1.793103448275862,1.3793103448275863,1.5517241379310345,1.0689655172413792,1.1724137931034482,1.5862068965517242,1.5172413793103448,1.6896551724137931,Yes,1
PRV51023,9.0,54000.0,6000.0,13000.0,1068.0,3.5555555555555554,9.0,27.0,11610.0,430.0,2.962962962962963,27.0,73.82705909194617,0.5555555555555556,0.4444444444444444,0.3333333333333333,1.2222222222222223,1.3333333333333333,1.4444444444444444,1.7777777777777777,1.5555555555555556,1.5555555555555556,1.4444444444444444,1.0,1.8888888888888888,1.8888888888888888,1.8888888888888888,No,0
PRV51024,9.0,61000.0,6777.777777777777,13000.0,1068.0,4.333333333333333,9.0,30.0,3050.0,101.66666666666667,3.0,29.0,69.7802114229219,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.5555555555555556,1.4444444444444444,1.3333333333333333,2.0,1.4444444444444444,1.3333333333333333,1.2222222222222223,1.1111111111111112,1.6666666666666667,1.5555555555555556,1.6666666666666667,No,0
PRV51025,13.0,86000.0,6615.384615384615,17000.0,1068.0,7.0,12.0,74.0,32350.0,437.1621621621622,5.405405405405405,66.0,70.38087716527141,0.3076923076923077,0.6923076923076923,0.3076923076923077,1.6153846153846154,1.3846153846153846,1.3846153846153846,1.8461538461538463,1.4615384615384615,1.3846153846153846,1.3076923076923077,1.2307692307692308,1.6923076923076923,1.9230769230769231,2.0,No,0
PRV51026,,,,,,,,76.0,19840.0,261.05263157894734,4.473684210526316,56.0,,,,,,,,,,,,,,,,No,0
PRV51027,,,,,,,,53.0,29840.0,563.0188679245283,0.0,44.0,,,,,,,,,,,,,,,,No,0
PRV51029,,,,,,,,93.0,30660.0,329.6774193548387,1.7204301075268817,79.0,,,,,,,,,,,,,,,,No,0
PRV51030,82.0,705600.0,8604.878048780487,57000.0,1068.0,4.621951219512195,71.0,89.0,34160.0,383.82022471910113,2.696629213483146,78.0,72.8113053204454,0.35365853658536583,0.6463414634146342,0.3048780487804878,1.4634146341463414,1.2682926829268293,1.4634146341463414,1.7926829268292683,1.548780487804878,1.548780487804878,1.2317073170731707,1.146341463414634,1.7073170731707317,1.6097560975609757,1.9146341463414633,No,0
PRV51031,28.0,329000.0,11750.0,68000.0,1068.0,5.535714285714286,26.0,157.0,30720.0,195.6687898089172,2.1656050955414012,135.0,72.88579251002248,0.42857142857142855,0.5714285714285714,0.2857142857142857,1.4642857142857142,1.3214285714285714,1.3571428571428572,1.8214285714285714,1.5,1.5357142857142858,1.3214285714285714,1.25,1.4642857142857142,1.7857142857142858,1.8928571428571428,No,0
PRV51032,,,,,,,,23.0,5420.0,235.65217391304347,2.1739130434782608,21.0,,,,,,,,,,,,,,,,No,0
PRV51035,1.0,29000.0,29000.0,29000.0,1068.0,14.0,1.0,29.0,3560.0,122.75862068965517,12.413793103448276,24.0,87.58658453114305,0.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,0
PRV51036,,,,,,,,278.0,74880.0,269.3525179856115,5.071942446043166,131.0,,,,,,,,,,,,,,,,No,0
PRV51037,23.0,214000.0,9304.347826086956,23000.0,1068.0,4.521739130434782,21.0,431.0,128230.0,297.51740139211137,2.2273781902552203,202.0,71.50171115674196,0.43478260869565216,0.5652173913043478,0.2608695652173913,1.434782608695652,1.173913043478261,1.391304347826087,1.7826086956521738,1.434782608695652,1.608695652173913,1.0869565217391304,1.0434782608695652,1.7391304347826086,1.3478260869565217,1.9565217391304348,Yes,1
PRV51038,30.0,229600.0,7653.333333333333,17000.0,1068.0,4.033333333333333,26.0,111.0,35890.0,323.3333333333333,1.981981981981982,83.0,71.77741273100615,0.4,0.6,0.2,1.5666666666666667,1.4,1.4666666666666666,1.8333333333333333,1.5,1.7,1.2666666666666666,1.1666666666666667,1.6,1.6,1.9333333333333333,No,0
PRV51040,9.0,63000.0,7000.0,21000.0,1068.0,10.555555555555555,8.0,77.0,11470.0,148.96103896103895,3.116883116883117,62.0,76.38025705376835,0.1111111111111111,0.8888888888888888,0.4444444444444444,1.4444444444444444,1.3333333333333333,1.2222222222222223,1.7777777777777777,1.4444444444444444,1.8888888888888888,1.1111111111111112,1.1111111111111112,1.6666666666666667,1.5555555555555556,1.6666666666666667,No,0
PRV51041,,,,,,,,34.0,7410.0,217.94117647058823,7.9411764705882355,31.0,,,,,,,,,,,,,,,,No,0
PRV51042,,,,,,,,142.0,48050.0,338.38028169014086,2.183098591549296,128.0,,,,,,,,,,,,,,,,No,0
PRV51043,,,,,,,,23.0,4480.0,194.7826086956522,0.0,20.0,,,,,,,,,,,,,,,,No,0
PRV51044,,,,,,,,59.0,21330.0,361.52542372881356,2.2033898305084745,39.0,,,,,,,,,,,,,,,,No,0
PRV51045,,,,,,,,31.0,8390.0,270.64516129032256,1.2903225806451613,29.0,,,,,,,,,,,,,,,,No,0
PRV51046,8.0,101000.0,12625.0,38000.0,1068.0,4.5,7.0,30.0,8370.0,279.0,3.3333333333333335,19.0,75.60711841204655,0.25,0.75,0.125,1.5,1.0,1.375,1.75,1.75,1.375,1.125,1.125,1.75,1.5,1.875,No,0
PRV51047,,,,,,,,11.0,2530.0,230.0,0.0,11.0,,,,,,,,,,,,,,,,No,0
PRV51048,4.0,19000.0,4750.0,7000.0,1068.0,4.75,4.0,34.0,8700.0,255.88235294117646,2.3529411764705883,30.0,67.68993839835728,0.75,0.25,0.25,1.75,1.0,1.0,1.5,1.75,1.5,1.0,1.25,1.75,1.5,2.0,No,0
PRV51049,,,,,,,,71.0,21720.0,305.9154929577465,2.676056338028169,65.0,,,,,,,,,,,,,,,,No,0
PRV51052,2.0,14000.0,7000.0,9000.0,1068.0,9.0,2.0,44.0,16800.0,381.8181818181818,4.7727272727272725,36.0,74.12867898699521,0.5,0.5,0.0,1.5,1.0,2.0,1.5,2.0,1.5,1.0,1.0,1.5,1.0,2.0,Yes,1
PRV51053,1.0,8000.0,8000.0,8000.0,1068.0,5.0,1.0,,,,,,68.67077344284736,1.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,No,0
PRV51054,,,,,,,,57.0,15130.0,265.43859649122805,2.456140350877193,40.0,,,,,,,,,,,,,,,,No,0
PRV51055,2.0,16700.0,8350.0,16000.0,1068.0,5.5,2.0,20.0,4940.0,247.0,3.5,20.0,55.08418891170431,1.0,0.0,0.5,2.0,1.0,2.0,2.0,2.0,1.5,1.5,1.0,1.0,2.0,2.0,No,0
PRV51056,2.0,8000.0,4000.0,5000.0,1068.0,3.0,2.0,20.0,6700.0,335.0,0.5,19.0,83.79466119096509,1.0,0.0,0.5,1.5,1.5,1.0,2.0,2.0,1.5,1.5,1.0,1.5,2.0,1.0,No,0
PRV51057,,,,,,,,5.0,6830.0,1366.0,0.0,4.0,,,,,,,,,,,,,,,,No,0
PRV51058,5.0,91000.0,18200.0,57000.0,1068.0,7.4,5.0,78.0,16030.0,205.51282051282053,2.5641025641025643,71.0,74.21820670773442,0.4,0.6,0.4,1.4,1.2,1.2,1.6,1.8,1.4,1.2,1.2,1.6,1.4,1.8,No,0
PRV51059,25.0,401000.0,16040.0,57000.0,1068.0,6.88,23.0,71.0,20060.0,282.53521126760563,3.380281690140845,60.0,78.98130047912389,0.24,0.76,0.4,1.56,1.12,1.36,1.76,1.48,1.32,1.16,1.12,1.64,1.56,1.76,Yes,1
PRV51060,5.0,35000.0,7000.0,14000.0,1068.0,4.8,5.0,37.0,8710.0,235.40540540540542,0.0,37.0,75.98412046543463,0.8,0.2,0.2,1.4,1.2,1.0,1.6,1.2,1.6,1.0,1.0,1.6,1.8,2.0,No,0
PRV51061,1.0,3000.0,3000.0,3000.0,1068.0,8.0,1.0,144.0,51940.0,360.69444444444446,1.8055555555555556,66.0,84.75290896646133,0.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,No,0
PRV51062,3.0,45000.0,15000.0,25000.0,1068.0,4.333333333333333,3.0,394.0,108380.0,275.0761421319797,1.8781725888324874,164.0,74.72689938398356,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.0,2.0,2.0,2.0,No,0
PRV51063,,,,,,,,149.0,51110.0,343.02013422818794,1.0738255033557047,115.0,,,,,,,,,,,,,,,,No,0
PRV51064,36.0,280000.0,7777.777777777777,37000.0,1068.0,5.305555555555555,34.0,267.0,80320.0,300.8239700374532,1.8726591760299625,198.0,72.17818845539585,0.4444444444444444,0.5555555555555556,0.1111111111111111,1.5833333333333333,1.2222222222222223,1.3888888888888888,1.8333333333333333,1.5555555555555556,1.5833333333333333,1.1111111111111112,1.25,1.6666666666666667,1.7222222222222223,1.8333333333333333,Yes,1
PRV51065,10.0,75000.0,7500.0,11000.0,1068.0,5.6,10.0,18.0,1570.0,87.22222222222223,6.111111111111111,16.0,80.6858316221766,0.4,0.6,0.0,1.6,1.2,1.7,1.9,1.5,1.3,1.2,1.1,2.0,1.8,1.7,No,0
PRV51066,2.0,19000.0,9500.0,15000.0,1068.0,2.0,2.0,22.0,5790.0,263.1818181818182,4.545454545454546,19.0,54.96098562628336,0.0,1.0,0.0,1.5,1.5,2.0,2.0,1.5,2.0,2.0,1.5,1.5,2.0,2.0,No,0
PRV51067,12.0,326000.0,27166.666666666668,83000.0,1068.0,6.583333333333333,11.0,46.0,8520.0,185.2173913043478,6.086956521739131,39.0,79.24526579968058,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.8333333333333333,1.1666666666666667,1.4166666666666667,1.9166666666666667,1.75,1.3333333333333333,1.25,1.1666666666666667,1.5,1.4166666666666667,2.0,Yes,1
PRV51068,9.0,77000.0,8555.555555555555,19000.0,1068.0,3.0,9.0,252.0,66260.0,262.93650793650795,1.746031746031746,206.0,73.05802722640504,0.3333333333333333,0.6666666666666666,0.1111111111111111,1.5555555555555556,1.4444444444444444,1.4444444444444444,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.2222222222222223,1.3333333333333333,2.0,1.7777777777777777,1.7777777777777777,No,0
PRV51070,10.0,101000.0,10100.0,22000.0,1068.0,4.1,10.0,89.0,24410.0,274.2696629213483,3.3707865168539324,61.0,71.28542094455852,0.5,0.5,0.3,1.4,1.3,1.5,1.8,1.3,1.4,1.1,1.2,1.7,1.8,1.7,No,0
PRV51071,,,,,,,,24.0,8550.0,356.25,2.0833333333333335,24.0,,,,,,,,,,,,,,,,No,0
PRV51072,12.0,72000.0,6000.0,14000.0,1068.0,4.25,12.0,200.0,47170.0,235.85,2.15,150.0,76.55122062514259,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.5,1.4166666666666667,1.25,1.9166666666666667,1.5833333333333333,1.5,1.25,1.0833333333333333,1.6666666666666667,1.9166666666666667,1.8333333333333333,No,0
PRV51074,5.0,31000.0,6200.0,15000.0,1068.0,2.6,5.0,34.0,10170.0,299.11764705882354,2.3529411764705883,34.0,76.56837782340862,0.2,0.8,0.2,1.4,1.6,1.4,2.0,1.2,1.2,1.4,1.0,1.4,2.0,2.0,No,0
PRV51075,,,,,,,,17.0,8550.0,502.94117647058823,4.117647058823529,13.0,,,,,,,,,,,,,,,,No,0
PRV51076,,,,,,,,29.0,10230.0,352.7586206896552,1.7241379310344827,27.0,,,,,,,,,,,,,,,,No,0
PRV51077,16.0,199000.0,12437.5,56000.0,1068.0,5.9375,13.0,17.0,5350.0,314.70588235294116,11.764705882352942,17.0,72.72125256673512,0.375,0.625,0.4375,1.3125,1.0625,1.1875,1.875,1.375,1.1875,1.0,1.125,1.5,1.5625,1.875,Yes,1
PRV51078,9.0,76000.0,8444.444444444445,16000.0,1068.0,6.666666666666667,9.0,14.0,2270.0,162.14285714285714,7.142857142857143,14.0,70.01201612289907,0.4444444444444444,0.5555555555555556,0.2222222222222222,1.6666666666666667,1.1111111111111112,1.6666666666666667,1.8888888888888888,1.5555555555555556,1.4444444444444444,1.4444444444444444,1.2222222222222223,1.4444444444444444,1.7777777777777777,1.6666666666666667,No,0
PRV51081,6.0,79000.0,13166.666666666666,48000.0,1068.0,6.0,6.0,194.0,45080.0,232.37113402061857,3.917525773195876,125.0,68.94547113848962,0.6666666666666666,0.3333333333333333,0.16666666666666666,1.3333333333333333,1.5,1.5,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.1666666666666667,1.6666666666666667,1.8333333333333333,1.8333333333333333,No,0
PRV51082,,,,,,,,34.0,5470.0,160.88235294117646,2.0588235294117645,31.0,,,,,,,,,,,,,,,,No,0
PRV51083,,,,,,,,90.0,18100.0,201.11111111111111,1.5555555555555556,81.0,,,,,,,,,,,,,,,,No,0
PRV51084,20.0,191000.0,9550.0,45000.0,1068.0,5.65,19.0,90.0,24580.0,273.1111111111111,5.888888888888889,67.0,71.6435318275154,0.5,0.5,0.2,1.3,1.3,1.35,1.85,1.65,1.55,1.15,1.2,1.5,1.75,1.7,Yes,1
PRV51086,31.0,413000.0,13322.58064516129,57000.0,1068.0,4.838709677419355,30.0,108.0,33170.0,307.1296296296296,0.5555555555555556,86.0,74.82484378794905,0.3548387096774194,0.6451612903225806,0.22580645161290322,1.5806451612903225,1.2903225806451613,1.3548387096774193,1.7419354838709677,1.4193548387096775,1.4193548387096775,1.2258064516129032,1.0,1.7096774193548387,1.7419354838709677,1.7741935483870968,No,0
PRV51089,18.0,177000.0,9833.333333333334,41000.0,1068.0,5.166666666666667,18.0,210.0,53900.0,256.6666666666667,2.5714285714285716,179.0,72.47927599056963,0.5,0.5,0.2777777777777778,1.6666666666666667,1.1666666666666667,1.3333333333333333,1.8888888888888888,1.6666666666666667,1.5,1.2222222222222223,1.1666666666666667,1.6111111111111112,1.7777777777777777,1.8333333333333333,No,0
PRV51090,,,,,,,,7.0,5830.0,832.8571428571429,8.571428571428571,7.0,,,,,,,,,,,,,,,,No,0
PRV51091,,,,,,,,44.0,9270.0,210.6818181818182,1.8181818181818181,44.0,,,,,,,,,,,,,,,,No,0
PRV51093,2.0,11000.0,5500.0,11000.0,1068.0,6.0,2.0,7.0,2710.0,387.14285714285717,0.0,7.0,83.71252566735113,0.0,1.0,0.5,1.5,1.0,1.5,2.0,1.5,1.0,1.5,1.5,1.5,2.0,1.5,No,0
PRV51096,,,,,,,,5.0,3200.0,640.0,20.0,5.0,,,,,,,,,,,,,,,,No,0
PRV51097,,,,,,,,125.0,44420.0,355.36,1.84,71.0,,,,,,,,,,,,,,,,No,0
PRV51098,,,,,,,,4.0,300.0,75.0,0.0,4.0,,,,,,,,,,,,,,,,No,0
PRV51100,5.0,78000.0,15600.0,33000.0,1068.0,6.0,5.0,,,,,,71.16988364134156,0.2,0.8,0.2,1.8,1.2,1.6,2.0,1.8,1.8,1.4,1.2,2.0,1.6,2.0,No,0
PRV51101,3.0,16600.0,5533.333333333333,13000.0,1068.0,3.3333333333333335,3.0,,,,,,57.69746748802191,1.0,0.0,0.3333333333333333,1.3333333333333333,1.0,1.0,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,No,0
PRV51102,12.0,148000.0,12333.333333333334,47000.0,1068.0,4.0,11.0,,,,,,80.40451745379876,0.75,0.25,0.25,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.9166666666666667,1.75,1.6666666666666667,1.25,1.0833333333333333,1.9166666666666667,1.5,1.8333333333333333,No,0
PRV51103,,,,,,,,6.0,440.0,73.33333333333333,10.0,4.0,,,,,,,,,,,,,,,,Yes,1
PRV51104,,,,,,,,12.0,1900.0,158.33333333333334,9.166666666666666,9.0,,,,,,,,,,,,,,,,No,0
PRV51105,,,,,,,,12.0,6540.0,545.0,0.0,12.0,,,,,,,,,,,,,,,,No,0
PRV51108,19.0,156000.0,8210.526315789473,22000.0,1068.0,5.2631578947368425,19.0,,,,,,72.52307359775209,0.3157894736842105,0.6842105263157895,0.21052631578947367,1.4210526315789473,1.3157894736842106,1.3157894736842106,1.7894736842105263,1.4210526315789473,1.5263157894736843,1.1578947368421053,1.105263157894737,1.4736842105263157,1.7894736842105263,1.736842105263158,No,0
PRV51109,3.0,18000.0,6000.0,8000.0,1068.0,6.333333333333333,3.0,,,,,,56.77846224047456,1.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.0,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.6666666666666667,No,0
PRV51110,5.0,27000.0,5400.0,9000.0,1068.0,10.2,5.0,,,,,,68.23709787816564,0.6,0.4,0.4,1.4,1.2,1.2,2.0,1.8,1.2,1.0,1.0,1.8,1.8,2.0,No,0
PRV51111,,,,,,,,132.0,54860.0,415.6060606060606,1.5151515151515151,85.0,,,,,,,,,,,,,,,,No,0
PRV51112,,,,,,,,304.0,105250.0,346.2171052631579,2.664473684210526,195.0,,,,,,,,,,,,,,,,No,0
PRV51113,,,,,,,,132.0,46390.0,351.43939393939394,4.166666666666667,78.0,,,,,,,,,,,,,,,,No,0
PRV51114,,,,,,,,262.0,76720.0,292.82442748091603,2.1374045801526718,160.0,,,,,,,,,,,,,,,,No,0
PRV51115,,,,,,,,7.0,980.0,140.0,2.857142857142857,6.0,,,,,,,,,,,,,,,,No,0
PRV51117,,,,,,,,12.0,1950.0,162.5,0.0,10.0,,,,,,,,,,,,,,,,No,0
PRV51118,16.0,136000.0,8500.0,22000.0,1068.0,4.25,16.0,,,,,,67.66889117043121,0.375,0.625,0.0625,1.75,1.25,1.5,1.875,1.5625,1.5,1.1875,1.1875,1.5,1.75,1.875,No,0
PRV51119,94.0,985000.0,10478.72340425532,118000.0,1068.0,5.968085106382978,81.0,1.0,95580.0,95580.0,865.0,1.0,75.55987592293242,0.3617021276595745,0.6382978723404256,0.23404255319148937,1.5,1.2872340425531914,1.446808510638298,1.7765957446808511,1.5425531914893618,1.4787234042553192,1.2127659574468086,1.1382978723404256,1.6702127659574468,1.7127659574468086,1.872340425531915,Yes,1
PRV51120,7.0,52000.0,7428.571428571428,15000.0,1068.0,4.142857142857143,7.0,,,,,,61.49056419282292,0.42857142857142855,0.5714285714285714,0.42857142857142855,1.4285714285714286,1.1428571428571428,1.5714285714285714,1.7142857142857142,1.7142857142857142,1.5714285714285714,1.1428571428571428,1.2857142857142858,1.7142857142857142,1.8571428571428572,1.8571428571428572,No,0
PRV51121,6.0,81000.0,13500.0,45000.0,1068.0,6.5,6.0,1.0,80.0,80.0,0.0,1.0,68.3773671001597,0.3333333333333333,0.6666666666666666,0.16666666666666666,1.6666666666666667,1.8333333333333333,1.3333333333333333,1.8333333333333333,2.0,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,2.0,No,0
PRV51122,,,,,,,,7.0,1120.0,160.0,0.0,7.0,,,,,,,,,,,,,,,,No,0
PRV51123,2.0,9000.0,4500.0,5000.0,1068.0,2.5,2.0,29.0,17910.0,617.5862068965517,1.3793103448275863,28.0,60.793976728268305,0.5,0.5,0.5,1.5,1.5,1.5,2.0,1.0,1.5,1.0,1.0,2.0,1.0,2.0,No,0
PRV51125,12.0,110000.0,9166.666666666666,30000.0,1068.0,4.333333333333333,12.0,36.0,21310.0,591.9444444444445,7.777777777777778,20.0,63.549851699749034,0.75,0.25,0.08333333333333333,1.5833333333333333,1.4166666666666667,1.5,1.5833333333333333,1.6666666666666667,1.4166666666666667,1.25,1.4166666666666667,1.9166666666666667,1.8333333333333333,1.8333333333333333,No,0
PRV51126,20.0,177000.0,8850.0,25000.0,1068.0,6.5,14.0,,,,,,70.36796714579056,0.55,0.45,0.5,1.4,1.1,1.35,1.95,1.6,1.45,1.25,1.0,1.55,1.8,1.9,Yes,1
PRV51128,5.0,90000.0,18000.0,29000.0,1068.0,6.4,3.0,45.0,12220.0,271.55555555555554,0.0,37.0,69.70239561943875,0.8,0.2,0.0,1.2,1.0,1.2,1.2,1.8,2.0,1.4,1.0,1.4,1.4,1.8,No,0
PRV51129,,,,,,,,96.0,22920.0,238.75,5.0,65.0,,,,,,,,,,,,,,,,No,0
PRV51130,,,,,,,,7.0,4970.0,710.0,0.0,7.0,,,,,,,,,,,,,,,,No,0
PRV51131,,,,,,,,8.0,1160.0,145.0,8.75,8.0,,,,,,,,,,,,,,,,No,0
PRV51132,1.0,4000.0,4000.0,4000.0,1068.0,4.0,1.0,7.0,1330.0,190.0,0.0,5.0,70.67214236824093,0.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,No,0
PRV51134,,,,,,,,15.0,7610.0,507.3333333333333,5.333333333333333,12.0,,,,,,,,,,,,,,,,No,0
PRV51135,,,,,,,,5.0,300.0,60.0,0.0,2.0,,,,,,,,,,,,,,,,No,0
PRV51136,1.0,20000.0,20000.0,20000.0,1068.0,2.0,1.0,,,,,,71.50444900752909,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,No,0
PRV51137,1.0,6000.0,6000.0,6000.0,1068.0,7.0,1.0,54.0,10050.0,186.11111111111111,5.185185185185185,50.0,85.75222450376455,0.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,No,0
PRV51138,1.0,6000.0,6000.0,6000.0,1068.0,1.0,1.0,25.0,7430.0,297.2,0.0,20.0,42.587268993839835,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,No,0
PRV51139,7.0,41300.0,5900.0,14000.0,1068.0,3.857142857142857,7.0,36.0,11280.0,313.3333333333333,1.1111111111111112,35.0,79.2165835533392,0.5714285714285714,0.42857142857142855,0.14285714285714285,1.1428571428571428,1.4285714285714286,1.5714285714285714,1.8571428571428572,1.5714285714285714,1.2857142857142858,1.1428571428571428,1.2857142857142858,1.4285714285714286,1.7142857142857142,2.0,No,0
PRV51140,47.0,307400.0,6540.425531914893,16000.0,1068.0,6.0212765957446805,45.0,440.0,145730.0,331.20454545454544,2.9318181818181817,363.0,74.96334483813185,0.3829787234042553,0.6170212765957447,0.1702127659574468,1.5957446808510638,1.3404255319148937,1.4042553191489362,1.7872340425531914,1.4680851063829787,1.5319148936170213,1.127659574468085,1.148936170212766,1.5957446808510638,1.6595744680851063,1.851063829787234,No,0
PRV51141,,,,,,,,71.0,19490.0,274.50704225352115,2.3943661971830985,37.0,,,,,,,,,,,,,,,,No,0
PRV51142,7.0,97000.0,13857.142857142857,57000.0,1068.0,7.428571428571429,5.0,44.0,7570.0,172.04545454545453,1.3636363636363635,35.0,74.38388579251003,0.42857142857142855,0.5714285714285714,0.42857142857142855,1.2857142857142858,1.1428571428571428,1.4285714285714286,1.8571428571428572,1.4285714285714286,1.7142857142857142,1.1428571428571428,1.1428571428571428,1.8571428571428572,1.8571428571428572,1.5714285714285714,No,0
PRV51143,,,,,,,,77.0,20450.0,265.5844155844156,4.545454545454546,68.0,,,,,,,,,,,,,,,,No,0
PRV51144,4.0,53000.0,13250.0,33000.0,1068.0,5.0,4.0,26.0,8220.0,316.15384615384613,8.461538461538462,25.0,76.27310061601642,0.25,0.75,0.0,1.5,1.0,1.75,2.0,1.75,1.25,1.25,1.0,1.5,2.0,1.75,No,0
PRV51145,161.0,1600600.0,9941.614906832297,46000.0,1068.0,5.937888198757764,125.0,41.0,5750.0,140.2439024390244,3.4146341463414633,39.0,73.31250185995297,0.4409937888198758,0.5590062111801242,0.2608695652173913,1.4472049689440993,1.3043478260869565,1.4596273291925466,1.795031055900621,1.546583850931677,1.5590062111801242,1.236024844720497,1.173913043478261,1.6521739130434783,1.6273291925465838,1.8074534161490683,Yes,1
